Bracket	Word-1	Word-2	Bracket	Frequency
with	baby	oil	,	1058
and	sunflower	oil	.	1058
with	microwave	oven	and	1053
a	baby	elephant	,	1052
the	concrete	jungle	,	1031
with	lily	grass	.	1029
a	summer	garden	.	1019
a	sapphire	crystal	,	1019
and	gold	leaf	,	1019
the	redwood	forest	,	1012
the	desert	night	.	1004
with	garlic	toast	.	1004
and	tomato	salad	,	999
a	mango	tree	,	996
the	summer	sunshine	.	982
a	chimney	fire	,	981
with	steel	wool	,	975
and	lemon	pepper	.	969
with	cocoa	butter	,	965
and	vanilla	bean	.	960
the	azure	sky	.	956
the	maple	leaf	.	949
the	desert	sky	.	945
the	jungle	canopy	.	943
with	potato	salad	and	937
the	maple	leaf	,	930
and	charcoal	grill	.	930
a	night	sky	,	929
the	mango	tree	.	927
and	cedar	wood	.	925
and	tree	bark	.	924
the	forest	fire	.	922
and	cocoa	butter	,	921
a	moonlight	night	,	919
a	garden	salad	.	916
a	brick	oven	.	914
and	rocket	fire	,	913
a	forest	canopy	.	911
a	storm	cloud	.	903
and	grizzly	bear	.	903
and	satin	ribbon	.	899
a	dust	cloud	.	896
and	soybean	oil	,	895
and	cotton	candy	,	895
with	cow	dung	,	891
with	tobacco	smoke	.	891
the	vanilla	bean	.	885
and	tea	tree	.	884
a	maple	leaf	,	882
the	summer	garden	.	882
a	silver	star	.	876
a	winter	garden	,	871
the	winter	night	.	864
the	dust	cloud	,	856
and	chocolate	milk	,	852
a	summer	sky	.	849
with	ginger	ale	,	847
a	lettuce	leaf	,	845
and	pine	tar	.	844
a	waffle	iron	,	841
the	winter	snow	,	840
a	grass	fire	.	838
a	winter	garden	.	836
a	banana	tree	.	836
and	wood	smoke	.	833
and	cherry	wood	.	830
a	banana	leaf	,	826
the	wood	fire	.	821
the	blood	royal	,	820
the	parmesan	cheese	.	818
some	toilet	paper	,	817
with	bear	grass	.	810
a	baby	elephant	.	807
and	cucumber	salad	.	805
the	pear	tree	.	799
and	scarlet	wool	,	797
the	baby	teeth	.	794
the	potato	salad	,	790
and	chili	pepper	.	790
the	royal	navy	,	786
and	milk	chocolate	,	783
the	jungle	canopy	,	782
the	lobster	bisque	.	782
the	waffle	iron	.	780
with	cotton	wool	and	772
a	spinach	salad	.	767
a	clay	oven	.	762
and	rocket	fire	.	761
and	celery	salt	.	760
and	silver	salmon	,	760
a	honey	bee	,	755
and	tomato	salad	.	755
and	ginger	ale	,	755
a	cedar	tree	.	748
with	garlic	salt	.	748
with	lemon	pepper	and	747
a	redwood	forest	.	743
with	baby	oil	and	740
a	pine	wood	.	739
the	mushroom	cloud	,	739
a	soil	garden	,	738
the	mulberry	tree	.	738
the	royal	blood	,	737
the	mouse	brain	,	737
the	winter	night	,	735
a	bronze	star	.	733
with	tobacco	smoke	,	733
the	cocoa	butter	,	730
the	wax	paper	,	727
the	baby	oil	.	727
with	lemon	cream	and	727
a	peach	tree	.	726
a	coffee	bean	.	726
a	milk	cow	,	725
a	garden	salad	,	724
the	chestnut	tree	,	719
with	sand	paper	.	719
the	snow	storm	,	718
and	eye	shadow	.	717
with	sunset	sky	and	717
a	mint	leaf	.	714
the	moon	rose	.	707
a	jungle	cat	.	705
the	desert	night	,	705
the	chestnut	tree	.	705
the	maple	tree	,	698
the	mango	tree	,	698
with	cocoa	butter	and	698
with	garlic	salt	,	697
and	honey	mustard	.	697
the	mouse	liver	.	696
a	sand	storm	.	694
and	coal	dust	.	691
and	potato	starch	.	689
and	corn	oil	,	688
with	lily	grass	and	688
with	lemon	butter	and	687
a	silver	star	,	685
and	charcoal	grill	,	685
the	walnut	tree	.	683
and	steel	wool	.	683
a	dust	cloud	,	679
and	sugar	maple	.	679
the	cocoa	bean	.	676
the	charcoal	grill	.	676
a	summer	sunset	,	674
with	gold	ribbon	.	674
the	cedar	tree	.	673
a	summer	storm	,	667
a	brick	oven	,	667
a	lotus	leaf	.	666
and	cigar	smoke	.	666
and	night	sky	.	665
and	apple	butter	.	665
the	coffee	bean	,	660
the	tree	bark	.	659
the	chili	pepper	.	659
and	ice	tea	.	659
and	silver	leaf	.	658
a	cherry	tomato	.	657
a	storm	cloud	,	657
the	mulberry	tree	,	656
the	mouse	heart	.	655
and	rice	bran	.	653
with	honey	mustard	,	652
with	bone	cement	.	650
and	grizzly	bear	,	646
the	vanilla	bean	,	645
the	ocean	crust	.	645
and	peppermint	oil	.	645
the	summer	sunshine	,	643
and	champagne	toast	.	642
the	pear	tree	,	640
with	lemon	pepper	.	640
a	tree	frog	.	639
the	dawn	sky	.	634
with	potato	salad	.	634
with	gold	dust	.	633
and	silver	leaf	,	631
with	milk	chocolate	and	629
the	royal	navy	.	627
and	rice	flour	.	627
the	sugar	maple	,	625
and	cow	dung	.	624
and	peat	moss	,	624
the	cheddar	cheese	.	623
with	ginger	ale	and	623
a	coal	fire	.	621
and	avocado	oil	,	619
a	sun	tan	.	618
a	walnut	tree	,	618
the	redwood	forest	.	617
the	baby	oil	,	613
and	pine	forest	,	612
and	tree	sap	.	607
a	sapphire	crystal	.	606
a	clay	soil	,	606
the	lemon	grass	,	606
a	summer	sky	,	605
the	elm	tree	.	605
the	pomegranate	tree	,	603
the	cocoa	bean	,	601
with	cotton	wool	,	597
and	rose	garden	.	596
with	honey	mustard	and	594
a	forest	canopy	,	592
a	coal	fire	,	591
and	rice	wine	.	591
the	mourning	dove	.	589
with	lemon	butter	,	589
and	lavender	oil	.	589
and	almond	oil	.	589
the	wood	fire	,	588
a	lemon	tree	,	579
the	forest	fire	,	578
with	rice	flour	and	578
a	tree	leaf	.	576
a	bronze	plaque	.	575
with	peat	moss	,	575
a	clay	soil	.	574
with	corn	starch	.	572
and	port	wine	.	572
the	paper	sheet	.	571
and	lemon	oil	.	571
a	honey	bee	.	569
the	chocolate	coffin	.	569
with	cinnamon	sugar	and	569
the	autumn	sky	.	568
a	lotus	leaf	,	567
the	garden	soil	.	566
with	tea	rose	,	564
with	coal	dust	.	564
some	baby	oil	.	563
with	rice	flour	,	563
a	redwood	tree	,	562
with	coal	dust	,	561
the	milk	sugar	,	560
with	wood	putty	.	558
a	chocolate	milkshake	,	557
with	gold	dust	,	556
and	garlic	butter	.	556
the	dust	storm	.	554
with	cotton	candy	,	554
with	tan	leather	,	553
and	maple	sugar	.	552
and	sunflower	oil	,	551
the	coffin	bone	.	547
the	ginger	ale	.	546
a	redwood	tree	.	543
with	saffron	rice	and	543
with	honey	mustard	.	541
with	rice	flour	.	539
with	crystal	violet	.	538
and	sugar	maple	,	538
and	salad	oil	.	537
with	baby	spinach	and	536
the	clay	soil	.	532
with	baby	corn	,	532
with	cow	dung	.	531
and	salt	pork	.	530
a	gold	ribbon	.	528
and	baby	corn	.	528
the	snow	forest	,	526
the	rice	flour	,	524
the	autumn	sun	,	522
with	corn	oil	.	522
a	summer	sun	,	516
the	cedar	tree	,	516
some	shit	vomit	.	516
and	coal	tar	.	516
with	saffron	rice	,	515
a	moonlight	night	.	514
and	lemon	grass	,	514
a	walnut	tree	.	513
a	bronze	plaque	,	512
the	gold	leaf	.	512
a	banana	tree	,	511
the	ash	tree	.	511
and	garlic	salt	,	510
the	blood	royal	.	509
the	sunset	sky	,	507
a	satin	pillow	.	506
the	desert	sky	,	505
a	forest	soil	.	504
the	cocoa	butter	.	503
a	plum	tree	.	501
and	eye	shadow	,	501
with	corn	starch	and	501
a	tea	garden	,	500
the	sunset	sky	.	500
the	ash	cloud	.	500
and	baby	oil	.	500
the	parchment	paper	,	499
and	corn	starch	,	499
the	parmesan	cheese	,	497
a	sand	storm	,	494
the	mouse	port	.	493
a	peach	tree	,	492
and	leaf	rust	.	492
with	ebony	frog	and	492
and	cucumber	salad	,	491
the	gold	star	.	488
and	cigar	smoke	,	487
a	grass	fire	,	482
the	steel	wool	.	481
the	sugar	maple	.	479
the	garlic	clove	.	479
a	desert	storm	.	478
and	silver	salmon	.	478
some	chocolate	milk	.	474
and	walnut	oil	.	474
and	coal	dust	,	472
with	lemon	butter	.	471
with	walnut	oil	and	469
the	almond	tree	,	467
the	silver	moon	.	466
and	smoke	tobacco	.	461
and	sapphire	crystal	.	460
a	moonlight	shadow	.	458
the	winter	storm	.	458
a	tree	frog	,	457
and	wood	fire	.	457
a	bronze	star	,	456
a	steel	grill	.	455
a	beech	tree	,	455
the	walnut	tree	,	455
with	leaf	lettuce	,	454
a	night	cream	.	453
with	milk	chocolate	,	453
and	teak	wood	.	453
a	milk	cow	.	450
the	ocean	crust	,	450
the	coffee	milk	.	450
a	night	cream	,	449
a	dust	devil	.	448
a	winter	dawn	,	447
the	velvet	sky	,	446
the	almond	tree	.	446
a	cabbage	leaf	.	445
the	winter	sunshine	.	444
the	forest	soil	.	444
and	antique	china	,	443
a	summer	sun	.	441
the	forest	park	,	440
a	summer	garden	,	439
the	cat	brain	.	439
a	winter	boot	.	438
and	rice	paper	.	438
and	plum	tree	.	438
a	cream	tea	.	437
some	eye	candy	,	437
with	satin	ribbon	,	437
a	chestnut	tree	.	436
a	bone	bruise	.	434
a	cloud	forest	,	433
and	corn	flour	.	433
a	mulberry	tree	.	432
a	banana	milkshake	,	432
the	tobacco	smoke	.	432
with	lemon	pepper	,	432
a	crimson	sky	.	431
with	avocado	oil	,	431
with	honey	butter	.	431
a	baby	dragon	.	429
a	soap	star	,	429
some	mint	tea	.	427
with	sunflower	oil	,	427
a	spruce	tree	.	426
the	pine	wood	,	426
with	wood	fire	,	426
and	maple	wood	.	426
the	clay	oven	.	425
and	beech	wood	,	425
the	rice	paper	.	424
with	garlic	toast	and	424
the	lemon	tree	.	423
and	cinnamon	bark	.	423
and	cotton	wool	.	422
the	tea	garden	.	421
the	royal	garden	.	421
with	chocolate	milk	.	421
and	pine	straw	.	421
and	gold	ribbon	.	421
the	silver	star	,	420
a	ginger	ale	.	419
the	silver	moon	,	419
and	mince	garlic	.	419
the	autumn	sky	,	417
a	dust	devil	,	416
the	silver	salmon	.	414
a	beech	tree	.	412
a	grill	fire	,	412
the	rice	wine	,	412
with	saffron	rice	.	412
and	eye	candy	,	412
with	garden	salad	and	412
the	lemon	tree	,	411
the	earth	crust	.	411
a	redwood	forest	,	410
a	linen	sheet	,	408
and	mouse	port	.	408
a	fire	storm	.	407
with	antique	brass	.	407
the	banana	tree	,	406
some	cotton	candy	.	404
with	tomato	ketchup	.	404
a	winter	forest	.	402
with	rose	oil	,	402
a	chestnut	tree	,	401
the	tree	bark	,	401
with	gold	star	,	401
a	cloud	forest	.	399
with	mushroom	gravy	,	399
a	ham	bone	,	398
a	sun	tan	,	397
the	wood	frog	,	397
with	teak	oil	.	397
the	asphalt	cement	.	396
a	plum	tree	,	395
the	desert	rose	,	394
with	cinnamon	sugar	,	394
and	shoe	leather	.	394
the	earth	crust	,	392
a	sun	canopy	,	391
with	baby	kangaroo	.	390
with	ginger	nut	and	389
the	wood	pigeon	.	386
the	gold	leaf	,	385
the	paprika	butter	.	384
the	tobacco	smoke	,	383
with	eye	candy	.	383
and	sand	paper	.	382
and	antique	copper	.	382
a	mulberry	tree	,	381
the	coal	dust	.	381
a	cabbage	leaf	,	379
with	tobacco	smoke	and	379
a	pine	wood	,	377
the	cinnamon	sugar	.	377
a	silk	ribbon	.	376
a	clay	oven	,	376
and	mint	tea	.	375
and	tea	leaf	,	375
the	pecan	tree	.	374
and	candy	corn	.	374
a	ghost	hunter	,	373
the	lotus	leaf	,	373
a	brass	plaque	.	372
a	garlic	clove	,	372
the	elm	tree	,	372
the	leaf	canopy	.	371
the	asphalt	concrete	.	371
a	beryl	stone	.	369
with	elephant	dung	.	369
with	cow	dung	and	369
a	strawberry	milkshake	.	368
the	cotton	candy	,	368
with	soybean	oil	,	368
and	salt	pork	,	368
a	jungle	cat	,	367
and	gold	teeth	.	367
and	antique	brass	.	366
with	coal	dust	and	366
and	turf	grass	.	365
and	rice	milk	.	365
a	silver	ribbon	.	363
the	winter	storm	,	363
the	ginger	lily	,	363
with	microwave	oven	.	363
and	clay	soil	.	363
a	paper	sheet	.	362
the	banana	tree	.	362
a	vanilla	bean	,	360
the	waffle	iron	,	360
the	brick	oven	.	360
with	soybean	oil	.	360
and	chili	oil	.	360
the	pork	bacon	,	359
a	vanilla	milkshake	.	356
a	summer	sunset	.	356
a	baby	kangaroo	.	356
and	wax	paper	.	353
the	corn	starch	,	352
and	tea	garden	.	352
the	plum	tree	,	351
with	almond	oil	and	351
with	baby	shrimp	,	350
with	asphalt	concrete	.	350
and	shrimp	curry	.	349
a	barn	fire	.	347
the	beech	tree	.	347
and	silver	maple	.	347
the	tea	garden	,	346
the	mourning	dove	,	346
the	cheddar	cheese	,	346
the	cat	tree	.	346
a	soap	star	.	345
and	ice	storm	.	345
and	cow	manure	.	344
with	cocoa	butter	.	343
with	peat	moss	.	342
and	spinach	salad	.	342
the	cocoa	tree	.	341
with	wood	wool	.	341
and	eye	cream	.	341
with	peat	moss	and	341
a	garlic	clove	.	340
the	coffee	tree	.	340
with	tan	leather	.	340
the	lobster	bisque	,	339
the	grass	shrimp	,	339
the	dust	storm	,	339
the	ash	tree	,	339
with	coal	tar	.	339
and	wood	dust	.	339
and	garlic	butter	,	338
a	ghost	hunter	.	337
some	sugar	baby	.	337
and	tree	bark	,	337
a	tree	canopy	.	335
the	dragon	spruce	,	335
and	garden	soil	.	335
the	beech	tree	,	333
and	sun	cream	.	333
and	cheese	biscuit	.	333
the	dust	devil	.	332
and	lime	oil	.	331
and	cloud	forest	.	331
the	garlic	clove	,	330
the	cotton	candy	.	330
the	rocket	fire	.	329
the	frog	heart	.	329
the	burnt	asphalt	.	329
a	brass	plaque	,	328
the	lime	tree	.	328
the	baby	elephant	.	328
with	chocolate	milk	,	328
and	mustard	oil	.	327
and	almond	milk	.	326
the	milk	chocolate	.	325
with	coal	tar	,	325
and	cow	milk	.	325
and	lemon	butter	.	324
and	potato	starch	,	324
a	spruce	tree	,	323
a	forest	tree	,	323
the	clay	soil	,	323
the	shadow	tree	.	323
with	garlic	oil	.	323
and	wood	smoke	,	323
a	chili	pepper	.	321
and	ink	jet	.	321
and	avocado	oil	.	321
a	pecan	tree	.	320
a	peat	fire	.	320
with	brass	plaque	.	320
the	summer	grass	,	319
and	burnt	sienna	.	319
with	garlic	oil	and	319
a	forest	tree	.	318
the	silver	star	.	318
the	ash	cloud	,	316
a	fire	baby	,	315
some	cotton	candy	,	315
and	gold	teeth	,	315
some	shoe	leather	.	314
a	strawberry	blonde	,	313
with	crystal	violet	,	313
with	almond	oil	,	313
with	gold	ink	.	313
with	almond	butter	and	313
the	summer	garden	,	312
the	corn	starch	.	312
with	sapphire	crystal	,	312
and	fire	wood	.	312
a	mourning	dove	.	311
the	peach	tree	.	311
with	corn	oil	,	311
and	carnation	oil	.	311
and	caramel	corn	.	311
with	gold	teeth	and	311
with	cucumber	salad	and	311
the	mouse	eye	.	310
a	tobacco	leaf	.	309
a	lime	tree	.	309
the	royal	blood	.	309
and	rice	straw	.	309
and	burnt	umber	.	309
a	stone	coffin	,	308
with	port	wine	,	308
a	tar	baby	.	307
a	baby	tree	.	307
with	eye	candy	,	307
with	lettuce	tomato	and	307
with	gold	ribbon	and	307
a	sunset	sky	.	306
and	cow	dung	,	306
with	coal	tar	and	306
the	port	wine	,	305
the	spruce	tree	.	305
with	lemon	grass	.	305
and	baby	spinach	.	305
a	potato	salad	.	304
the	cotton	wool	.	304
the	coal	fire	.	304
and	leaf	lettuce	.	304
a	brick	chimney	.	303
and	rice	flour	,	303
the	sand	paper	.	302
and	rice	bran	,	302
a	chili	pepper	,	301
and	mouse	brain	.	301
and	cherry	wood	,	300
with	gold	dust	and	300
the	ginger	ale	,	299
with	lemon	oil	.	299
and	gold	velvet	.	299
and	tea	tree	,	298
a	vanilla	bean	.	297
the	dung	port	,	297
the	cat	tree	,	297
the	olive	garden	.	297
a	clay	pigeon	.	296
the	chili	pepper	,	296
and	vanilla	yogurt	.	296
and	gold	dust	.	295
a	cherry	tomato	,	294
and	avocado	salad	,	294
a	midnight	sky	,	293
with	corn	starch	,	292
the	chocolate	milk	.	291
with	vanilla	cream	and	291
a	spinach	salad	,	290
with	sapphire	crystal	.	290
the	steel	wool	,	289
the	autumn	sunshine	.	289
and	apple	butter	,	289
a	bone	bruise	,	288
the	forest	soil	,	287
the	coral	skeleton	.	287
the	cigar	smoke	.	287
with	crimson	velvet	,	287
with	mushroom	gravy	.	287
a	winter	sky	.	286
a	baby	bear	.	286
the	tar	baby	.	286
and	antique	silver	.	286
a	chocolate	biscuit	.	285
a	sunset	sky	,	285
and	summer	sun	.	285
and	rose	oil	.	285
and	nappy	rash	.	285
a	baby	lamb	.	284
the	rice	paper	,	284
the	charcoal	grill	,	284
with	port	wine	and	284
the	steel	sheet	.	282
a	tea	garden	.	281
a	shit	storm	.	281
with	salad	oil	.	281
the	wintry	sky	,	280
the	leaf	wood	,	280
with	lavender	oil	.	280
and	corn	flour	,	280
the	strawberry	tree	,	279
with	rice	paper	.	279
and	vanilla	cream	.	279
and	poppy	straw	.	279
and	parchment	paper	.	279
and	bone	china	.	279
the	bone	cement	.	278
and	cinnamon	sugar	.	278
the	plum	tree	.	277
and	tobacco	leaf	.	277
and	avocado	salad	.	277
with	garlic	mayonnaise	and	277
the	peat	moss	.	276
some	chocolate	milk	,	276
and	tomato	ketchup	.	276
with	elephant	dung	and	276
with	vanilla	yogurt	,	275
a	wood	oven	.	274
a	wood	oven	,	274
the	salt	pork	,	274
the	laser	crystal	.	274
with	tea	tree	and	274
the	fire	dragon	.	273
and	rice	wine	,	273
a	coffee	bean	,	272
the	baby	elephant	,	272
the	tobacco	leaf	.	272
and	winter	garden	.	272
a	cream	cheese	,	271
the	dawn	sky	,	271
the	coffee	tree	,	271
the	smoke	cloud	.	271
the	bronze	star	.	271
and	leaf	lettuce	,	271
a	midnight	sky	.	270
a	demon	hunter	.	270
a	candy	apple	.	270
a	desert	night	,	270
the	beef	gravy	.	269
and	leather	lingerie	.	269
and	rose	garden	,	269
and	copper	sheet	,	269
a	desert	sunset	.	268
a	brick	chimney	,	268
with	salt	pork	,	268
and	saffron	rice	.	268
with	rocket	salad	and	268
the	cow	barn	.	267
and	salad	oil	,	267
a	caramel	apple	.	266
a	baby	dragon	,	266
and	mouse	liver	.	266
and	forest	fire	.	266
and	mouse	port	,	266
and	copper	sky	,	266
the	floral	foam	.	265
and	mahogany	wood	.	265
and	rice	paper	,	265
and	baby	spinach	,	265
the	asphalt	jungle	.	264
the	peach	tree	,	263
and	honey	mustard	,	263
a	desert	moon	.	262
with	sunflower	oil	and	262
with	crystal	violet	and	262
a	potato	pancake	,	261
a	ginger	ale	,	261
the	pine	wood	.	261
with	silk	ribbon	,	261
with	silver	ribbon	.	261
and	pine	wood	.	261
a	tomato	salad	.	260
and	ginger	tea	.	260
and	garden	salad	.	260
a	laser	mouse	,	259
a	silk	rose	.	258
a	cucumber	salad	.	258
a	paper	sheet	,	258
with	lemon	oil	,	258
and	hash	oil	.	258
and	wine	wine	,	258
with	salt	pork	and	258
with	salt	pepper	and	258
the	garden	pansy	.	257
with	peppermint	oil	.	257
a	paper	moon	,	256
a	lime	tree	,	256
the	desert	dust	,	256
the	rocket	summer	.	256
with	cotton	candy	and	256
a	silver	ribbon	,	255
with	almond	oil	.	255
a	blood	blister	.	254
a	potato	salad	,	254
the	bronze	star	,	254
the	garlic	butter	.	254
with	wood	dust	.	254
a	gold	brick	.	253
the	verdigris	coral	,	253
the	salt	pork	.	253
and	walnut	salad	,	252
and	vanilla	bean	,	252
a	cat	tree	.	251
the	meadow	grass	,	250
the	laser	sheet	.	250
and	wine	garden	,	250
and	ice	storm	,	250
a	demon	hunter	,	249
with	garden	salad	,	249
with	sand	paper	and	249
the	lotus	leaf	.	248
with	candy	corn	.	248
a	silver	dragon	,	247
and	silk	ribbon	.	247
the	eye	shadow	,	246
with	bronze	star	,	246
and	silver	paper	,	246
and	almond	oil	,	246
with	silk	ribbon	and	246
with	garlic	mayonnaise	.	245
with	apple	butter	.	245
and	olive	drab	.	245
and	gold	ribbon	,	245
and	cloud	forest	,	245
a	spruce	forest	.	244
a	tree	canopy	,	244
the	winter	fire	,	244
the	lime	tree	,	244
and	burnt	toast	.	244
and	star	coral	,	244
the	tomato	gravy	,	243
and	chili	pepper	,	243
with	midnight	navy	and	243
the	midnight	moon	.	242
with	laser	fire	.	242
and	rice	milk	,	242
and	leaf	rust	,	242
a	clay	pigeon	,	241
the	royal	park	,	241
with	wood	putty	,	241
with	sand	paper	,	241
a	winter	sky	,	240
a	cream	tea	,	240
the	autumn	foliage	.	240
and	wood	ash	.	240
and	garlic	mustard	.	240
and	brass	plaque	.	240
a	peat	fire	,	239
the	tree	frog	,	239
the	coal	fire	,	239
the	summer	wine	.	239
the	dawn	sun	.	239
with	salad	oil	,	239
with	gold	teeth	,	239
with	blood	sugar	.	239
and	winter	sun	.	239
and	butter	lettuce	.	239
the	storm	cloud	,	237
the	fox	squirrel	,	237
the	wintry	sky	.	237
the	royal	park	.	237
the	desert	dust	.	237
and	pine	bark	,	237
the	cotton	wool	,	236
